Region,Congress,Years,Party,Percent,Seats
Border,69,1925-1926,D,14.7,27
Border,69,1925-1926,R,7.8,19
Border,75,1937-1938,D,12,40
Border,75,1937-1938,R,2.2,2
Border,81,1949-1950,D,14.1,37
Border,81,1949-1950,R,2.9,5
Border,87,1961-1962,D,12.2,32
Border,87,1961-1962,R,3.4,6
Border,93,1973-1974,D,11.3,27
Border,93,1973-1974,R,4.2,8
Border,96,1979-1980,D,9.8,27
Border,96,1979-1980,R,5.1,8
Border,97,1981-1982,D,9.9,24
Border,97,1981-1982,R,5.7,11
Border,98,1983-1984,D,9.7,26
Border,98,1983-1984,R,4.8,8
Border,101,1989-1990,D,8.9,23
Border,101,1989-1990,R,6.3,11
Border,102,1991-1992,D,8.6,23
Border,102,1991-1992,R,6.6,11
Border,103,1993-1994,D,8.1,21
Border,103,1993-1994,R,6.3,11
Border,104,1995-1996,D,7.8,16
Border,104,1995-1996,R,7,16
Border,105,1997-1998,D,6.3,13
Border,105,1997-1998,R,8.4,19
Border,106,1999-2000,D,6.2,13
Border,106,1999-2000,R,8.6,19
Border,107,2001-2002,D,5.7,12
Border,107,2001-2002,R,9.1,20
Border,108,2003-2004,D,6.8,14
Border,108,2003-2004,R,7.4,17
Border,109,2005-2006,D,7,14
Border,109,2005-2006,R,7.3,17
Border,110,2007-2008,D,6.4,15
Border,110,2007-2008,R,7.9,16
Border,111,2009-2010,D,6.3,16
Border,111,2009-2010,R,8.4,15
Border,112,2011-2012,D,6.7,13
Border,112,2011-2012,R,7.4,18
Border,113,2013-2014,D,5.5,11
Border,113,2013-2014,R,8.2,19
Border,114,2015-2016,D,5.3,10
Border,114,2015-2016,R,8.1,20
Border,115,2017-2018,D,5.2,10
Border,155,2017-2018,R,8.3,20
Border,116,2019-2020,D,4.7,11
Border,116,2019-2020,R,9.5,19
Mid-Atlantic,69,1925-1926,D,13,24
Mid-Atlantic,69,1925-1926,R,26.9,66
Mid-Atlantic,75,1937-1938,D,19.3,64
